Country,Crop,Year,Area_harvested_ha,Production_tonnes,Yield_kg_per_ha
Algeria,Quinces,2022,1269.0,8852.98,6974.1
Algeria,Quinces,2023,1526.0,11098.94,7273.5
Algeria,Rape or colza seed,2020,11901.0,23133.28,1943.8
Algeria,Rape or colza seed,2021,11855.0,23044.39,1943.9
Algeria,Rape or colza seed,2022,11912.0,23155.48,1943.9
Algeria,Rape or colza seed,2023,11889.0,23111.05,1943.9
Algeria,"Rapeseed or canola oil, crude",2020,,7707.03,
Algeria,"Rapeseed or canola oil, crude",2021,,7741.52,
Algeria,"Rapeseed or canola oil, crude",2022,,7858.65,
Algeria,Raw hides and skins of cattle,2020,,17475.96,
Algeria,Raw hides and skins of cattle,2021,,17721.17,
Algeria,Raw hides and skins of cattle,2022,,16961.54,
Algeria,Raw hides and skins of cattle,2023,,16719.23,
Algeria,Raw hides and skins of goats or kids,2020,,7400.54,
Algeria,Raw hides and skins of goats or kids,2021,,7667.72,
Algeria,Raw hides and skins of goats or kids,2022,,7774.57,
Algeria,Raw hides and skins of goats or kids,2023,,7779.57,
Algeria,Raw hides and skins of sheep or lambs,2020,,52627.61,
Algeria,Raw hides and skins of sheep or lambs,2021,,53789.21,
Algeria,Raw hides and skins of sheep or lambs,2022,,54380.58,
Algeria,Raw hides and skins of sheep or lambs,2023,,56577.58,
Algeria,Raw milk of camel,2020,,14897.82,
Algeria,Raw milk of camel,2021,,15195.54,
Algeria,Raw milk of camel,2022,,14884.24,
Algeria,Raw milk of camel,2023,,15013.6,
Algeria,Raw milk of cattle,2020,,2414552.0,
Algeria,Raw milk of cattle,2021,,2409291.0,
Algeria,Raw milk of cattle,2022,,2433986.67,
Algeria,Raw milk of cattle,2023,,2419276.56,
Algeria,Raw milk of goats,2020,,332793.0,
Algeria,Raw milk of goats,2021,,314117.0,
Algeria,Raw milk of goats,2022,,324463.67,
Algeria,Raw milk of goats,2023,,323791.22,
Algeria,Raw milk of sheep,2020,,592306.0,
Algeria,Raw milk of sheep,2021,,524908.0,
Algeria,Raw milk of sheep,2022,,547145.33,
Algeria,Raw milk of sheep,2023,,554786.44,
Algeria,Rice,2020,172.0,308.47,1791.0
Algeria,Rice,2021,171.0,305.92,1790.0
Algeria,Rice,2022,172.0,307.49,1789.9
Algeria,Rice,2023,172.0,307.29,1790.3
Algeria,"Seed cotton, unginned",2020,260.0,78.78,303.0
Algeria,"Seed cotton, unginned",2021,260.0,80.07,307.9
Algeria,"Seed cotton, unginned",2022,260.0,80.7,310.4
Algeria,"Seed cotton, unginned",2023,260.0,81.33,312.8
Algeria,"Sheep fat, unrendered",2020,,8201.71,
Algeria,"Sheep fat, unrendered",2021,,8382.73,
Algeria,"Sheep fat, unrendered",2022,,8474.9,
Algeria,"Sheep fat, unrendered",2023,,8817.28,
Algeria,"Shorn wool, greasy, including fleece-washed shorn wool",2020,,37890.0,
Algeria,"Shorn wool, greasy, including fleece-washed shorn wool",2021,,33459.0,
Algeria,"Shorn wool, greasy, including fleece-washed shorn wool",2022,,33741.94,
Algeria,"Shorn wool, greasy, including fleece-washed shorn wool",2023,,35414.69,
Algeria,Sorghum,2020,68.0,256.0,3764.7
Algeria,Sorghum,2021,105.0,386.0,3676.2
Algeria,Sorghum,2022,120.0,951.17,7922.1
Algeria,Sorghum,2023,195.0,940.5,4821.2
Algeria,Soya bean oil,2020,,101700.0,
Algeria,Soya bean oil,2021,,175300.0,
Algeria,Soya bean oil,2022,,246200.0,
Algeria,Sunflower seed,2020,202.0,87.82,435.8
Algeria,Sunflower seed,2021,198.0,88.5,446.0
Algeria,Sunflower seed,2022,200.0,88.72,444.7
Algeria,Sunflower seed,2023,200.0,88.35,442.1
Algeria,"Sunflower-seed oil, crude",2020,,2100.0,
Algeria,"Sunflower-seed oil, crude",2021,,3600.0,
Algeria,"Sunflower-seed oil, crude",2022,,4300.0,
Algeria,"Tangerines, mandarins, clementines",2020,14223.0,302476.0,21266.7
Algeria,"Tangerines, mandarins, clementines",2021,14808.0,290424.0,19612.6
Algeria,"Tangerines, mandarins, clementines",2022,14258.0,297569.13,20870.7
Algeria,"Tangerines, mandarins, clementines",2023,14218.0,317301.14,22317.2
Algeria,Tomatoes,2020,26311.0,1635616.3,62164.7
Algeria,Tomatoes,2021,25755.0,1641636.0,63740.8
Algeria,Tomatoes,2022,24928.0,1653903.79,66347.7
Algeria,Tomatoes,2023,24186.0,1682041.85,69547.5
Algeria,Triticale,2020,261.0,269.0,1030.7
Algeria,Triticale,2021,379.0,615.0,1622.7
Algeria,Triticale,2022,326.0,539.88,1657.3
Algeria,Triticale,2023,173.0,304.81,1764.5
Algeria,Unmanufactured tobacco,2020,5278.0,11496.0,2178.1
Algeria,Unmanufactured tobacco,2021,4415.0,9427.0,2135.2
Algeria,Unmanufactured tobacco,2022,4377.0,10084.2,2303.9
Algeria,Unmanufactured tobacco,2023,4534.0,11262.8,2484.3
Algeria,Vetches,2020,155.0,77.81,502.5
Algeria,Vetches,2021,150.0,74.95,499.7
Algeria,Vetches,2022,153.0,76.9,501.4
Algeria,Vetches,2023,153.0,76.55,501.2
Algeria,Watermelons,2020,61000.0,2286809.1,37488.4
Algeria,Watermelons,2021,59462.0,2075874.0,34910.7
Algeria,Watermelons,2022,55834.0,2074242.92,37150.1
Algeria,Watermelons,2023,63258.0,2507140.41,39633.7
Algeria,Wheat,2020,1848083.0,3106754.0,1681.1
Algeria,Wheat,2021,1368702.0,2168386.0,1584.3
Algeria,Wheat,2022,1800000.0,3000000.0,1666.7
Algeria,Wheat,2023,1800000.0,2500000.0,1388.9
Algeria,Wine,2021,,11130.21,
Algeria,Wine,2022,,10713.06,
Angola,Bananas,2020,165191.0,4204538.0,25452.6
Angola,Bananas,2021,169971.0,4345799.0,25567.9
Angola,Bananas,2022,172102.0,4589099.0,26665.0
Angola,Bananas,2023,177979.0,4893686.0,27495.8
Angola,"Beans, dry",2020,691859.0,344762.0,498.3
Angola,"Beans, dry",2021,698972.0,341081.0,488.0
Angola,"Beans, dry",2022,701036.0,358209.0,511.0
Angola,"Beans, dry",2023,737922.0,366865.0,497.2
Angola,"Beer of barley, malted",2020,,900000.0,
Angola,"Beer of barley, malted",2021,,1100000.0,
Angola,"Beer of barley, malted",2022,,1200000.0,
Angola,Cabbages,2020,10337.0,304255.0,29432.2
Angola,Cabbages,2021,8995.0,264811.0,29439.3
Angola,Cabbages,2022,9314.0,274232.0,29444.5
Angola,Cabbages,2023,9670.0,284733.0,29444.5
Angola,Carrots and turnips,2020,7811.0,144240.0,18466.4
Angola,Carrots and turnips,2021,8103.0,149221.0,18415.3
Angola,Carrots and turnips,2022,8367.0,154188.0,18428.5
Angola,Carrots and turnips,2023,8632.0,159173.0,18439.4
Angola,"Cattle fat, unrendered",2020,,3533.37,
Angola,"Cattle fat, unrendered",2021,,3496.62,
Angola,"Cattle fat, unrendered",2022,,3415.71,
Angola,"Cattle fat, unrendered",2023,,3601.48,
Angola,"Cotton lint, ginned",2020,,1100.0,
Angola,"Cotton lint, ginned",2021,,1100.0,
Angola,"Cotton lint, ginned",2022,,1100.0,
Angola,Cotton seed,2020,,2200.0,
Angola,Cotton seed,2021,,2200.0,
Angola,Cotton seed,2022,,2200.0,
Angola,"Edible offal of cattle, fresh, chilled or frozen",2020,,16627.6,
Angola,"Edible offal of cattle, fresh, chilled or frozen",2021,,16454.7,
Angola,"Edible offal of cattle, fresh, chilled or frozen",2022,,16073.92,
Angola,"Edible offal of cattle, fresh, chilled or frozen",2023,,16948.16,
Angola,"Edible offal of goat, fresh, chilled or frozen",2020,,2285.91,
Angola,"Edible offal of goat, fresh, chilled or frozen",2021,,2288.65,
Angola,"Edible offal of goat, fresh, chilled or frozen",2022,,2299.18,
Angola,"Edible offal of goat, fresh, chilled or frozen",2023,,2310.53,
Angola,"Edible offal of pigs, fresh, chilled or frozen",2020,,5942.0,
Angola,"Edible offal of pigs, fresh, chilled or frozen",2021,,6327.7,
Angola,"Edible offal of pigs, fresh, chilled or frozen",2022,,6637.6,
Angola,"Edible offal of pigs, fresh, chilled or frozen",2023,,6950.61,
Angola,"Edible offal of sheep, fresh, chilled or frozen",2020,,620.45,
Angola,"Edible offal of sheep, fresh, chilled or frozen",2021,,629.4,
